# time(Myr) mean_den(K) std_den(K)
0.000000000000000000e+00 9.999999999999999604e-24 0.000000000000000000e+00
8.527998280978303924e-01 1.000000000126628767e-23 3.303014211190374194e+00
9.087597531312383570e-01 1.000000000126628767e-23 3.270058850216053692e+00
1.434599561996703354e+00 1.000000002338628339e-23 2.878468063092600282e+00
1.663038788636264087e+00 1.000000002511907814e-23 2.771874660154474146e+00
2.218071705856827780e+00 1.000000003443635347e-23 3.163542207585654520e+00
2.247472849234927406e+00 1.000000003443635493e-23 3.132398805774946560e+00
2.433659053630266911e+00 1.000000003446818144e-23 2.880856247281136540e+00
2.523008827506704854e+00 1.000000003446817998e-23 2.843902244438212268e+00
2.527477951534764511e+00 1.000000003446817998e-23 2.854074439596521184e+00
2.669146227888021805e+00 1.000000003446817998e-23 2.911863243257136080e+00
2.942317571092469386e+00 1.000000003446817998e-23 2.706811636579447011e+00
3.219219039635527135e+00 1.000000003446817998e-23 2.323543472072227445e+00
3.229570071058613934e+00 1.000000003446817998e-23 2.323958188722004881e+00
3.229570071058613934e+00 1.000000003446817998e-23 2.323958188722004881e+00
